DanhMuc,CauHoi,CauTraLoi
,"Lên mạng xã hội viết status xuyên tạc gây ảnh hưởng nhà trường, thầy cô bị xử lý gì ","Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,Lên mạng xã hội viết status xuyên tạc gây ảnh hưởng đến nhà trường bị xử lý gì,"Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,Lên mạng xã hội viết status xuyên tạc gây ảnh hưởng đến thầy cô bị xử lý gì,"Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,Lên mạng xã hội viết status xuyên tạc gây ảnh hưởng nhà trường bị xử lý gì,"Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học"
,Đưa hình ảnh phản cảm lên mạng xã hội làm ảnh hưởng đến uy tín và hình ảnh nhà trường bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Đưa hình ảnh phản cảm lên mạng xã hội làm ảnh hưởng đến uy tín và hình ảnh nhà trường bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Đưa hình ảnh phản cảm lên mạng xã hội làm ảnh hưởng đến uy tín và hình ảnh nhà trường bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Lên mạng xã hội đăng hình ảnh làm ảnh hưởng uy tín nhà trường bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Sử dụng Internet vào mạng xã hội viết nội dung có nhắc đến tên trường mang thái độ châm biếm bị xử lý gì,"Tùy theo mức độ, xử lý từ phê bình đến buộc thôi học "
,Sử dụng Internet vào mạng xã hội viết nội dung có nhắc đến tên trường mang thái độ châm biếm bị xử lý sao,"Tùy theo mức độ, xử lý từ phê bình đến buộc thôi học "
,Sử dụng Internet vào mạng xã hội viết nội dung có nhắc đến tên trường mang thái độ châm biếm bị xử lý thế nào,"Tùy theo mức độ, xử lý từ phê bình đến buộc thôi học "
,Lên mạng xã hội viết nội dung có nhắc tên nhà trường với thái độ châm biếm bị xử lý gì,"Tùy theo mức độ, xử lý từ phê bình đến buộc thôi học "
,Lên mạng xã hội viết nội dung có nhắc tên nhà trường với thái độ châm biếm bị xử lý sao,"Tùy theo mức độ, xử lý từ phê bình đến buộc thôi học "
,Lên mạng xã hội viết nội dung có nhắc tên nhà trường với thái độ châm biếm bị xử lý thế nào,"Tùy theo mức độ, xử lý từ phê bình đến buộc thôi học "
,Vi phạm quyền tác giả với tác phẩm hoặc sử dụng giai điệu Hành khúc Đại học Tôn Đức Thắng không đúng mục đích bị xử lý gì,"Tùy theo mức độ, xử lý từ nhắc nhở đến buộc thôi học"
,Vi phạm quyền tác giả với tác phẩm hoặc sử dụng giai điệu Hành khúc Đại học Tôn Đức Thắng không đúng mục đích bị xử lý sao,"Tùy theo mức độ, xử lý từ nhắc nhở đến buộc thôi học"
,Vi phạm quyền tác giả với tác phẩm hoặc sử dụng giai điệu Hành khúc Đại học Tôn Đức Thắng không đúng mục đích bị xử lý thế nào,"Tùy theo mức độ, xử lý từ nhắc nhở đến buộc thôi học"
,sử dụng giai điệu hành khúc đại học tôn đức thắng không đúng mục đích bị xử lý gì,"Tùy theo mức độ, xử lý từ nhắc nhở đến buộc thôi học"
,sử dụng giai điệu hành khúc đại học tôn đức thắng không đúng mục đích bị xử lý sao,"Tùy theo mức độ, xử lý từ nhắc nhở đến buộc thôi học"
,sử dụng giai điệu hành khúc đại học tôn đức thắng không đúng mục đích bị xử lý thế nào,"Tùy theo mức độ, xử lý từ nhắc nhở đến buộc thôi học"
,Vi phạm quyền tác giả với tác phẩm hành khúc đại học tôn đức thắng bị xử lý thế nào,"Tùy theo mức độ, xử lý từ nhắc nhở đến buộc thôi học"
,Vi phạm quyền tác giả với tác phẩm hành khúc đại học tôn đức thắng bị xử lý gì,"Tùy theo mức độ, xử lý từ nhắc nhở đến buộc thôi học"
,Vi phạm quyền tác giả với tác phẩm hành khúc đại học tôn đức thắng bị xử lý sao,"Tùy theo mức độ, xử lý từ nhắc nhở đến buộc thôi học"
,"Nhận được thông tin chưa kiểm chứng, chưa báo cáo khoa quản lý đã phát tán thông tin cho người khác hoặc phản ánh thông tin về nhà trường, thầy cô không chính xác khi chưa tìm hiểu hoặc phát ngôn không đúng sự thật hoặc phản ánh lại nội dung đã được nhà trường giải quyết ","Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học"
,Phát tán thông tin chưa được kiểm chứng bị xử lý gì,"Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học"
,"Vi phạm nội quy nhà trường, thầy cô, giám thị nhắc nhở nhưng vẫn cố tình không chấp hành bị xử lý gì","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,"Vi phạm nội quy nhà trường, thầy cô, giám thị nhắc nhở nhưng vẫn cố tình không chấp hành bị xử lý sao","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,"Vi phạm nội quy nhà trường, thầy cô, giám thị nhắc nhở nhưng vẫn cố tình không chấp hành bị xử lý thế nào","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,"Vi phạm nội quy nhà trường, thầy cô, giám thị nhắc nhở nhưng có thái độ không đúng mực bị xử lý gì","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,"Vi phạm nội quy nhà trường, thầy cô, giám thị nhắc nhở nhưng có thái độ không đúng mực bị xử lý sao","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,"Vi phạm nội quy nhà trường, thầy cô, giám thị nhắc nhở nhưng có thái độ không đúng mực bị xử lý thế nào","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Bỏ chạy khi bị lập biên bản bị xử lý gì,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Bỏ chạy khi bị lập biên bản bị xử lý sao,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Bỏ chạy khi bị lập biên bản bị xử lý thế nào,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Ghi tục vào biên bản xử lý sinh viên vi phạm bị xử lý gì,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Ghi tục vào biên bản xử lý sinh viên vi phạm bị xử lý sao,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Ghi tục vào biên bản xử lý sinh viên vi phạm bị xử lý thế nào,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,"Văng tục, chửi thề, ăn nói bất lịch sự trong trường bị xử lý gì","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,"Văng tục, chửi thề, ăn nói bất lịch sự trong trường bị xử lý sao","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,"Văng tục, chửi thề, ăn nói bất lịch sự trong trường bị xử lý thế nào","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Chửi thề trong trường bị xử lý gì,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Chửi thề trong trường bị xử lý sao,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Chửi thề trong trường bị xử lý thế nào,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Văng tục trong trường bị xử lý gì,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Văng tục trong trường bị xử lý sao,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Văng tục trong trường bị xử lý thế nào,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Ăn nói bất lịch sự trong trường bị xử lý gì,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Ăn nói bất lịch sự trong trường bị xử lý sao,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Ăn nói bất lịch sự trong trường bị xử lý thế nào,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Không đeo thẻ sinh viên trong trường bị xử lý thế nào ,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Không đeo thẻ sinh viên trong trường bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Không đeo thẻ sinh viên trong trường bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Trong trường không đeo thẻ sinh viên bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Trong trường không đeo thẻ sinh viên bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Trong trường không đeo thẻ sinh viên bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Cho người khác mượn thẻ sinh viên bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Cho người khác mượn thẻ sinh viên bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Cho người khác mượn thẻ sinh viên bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Mượn thẻ của sinh viên khác bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Mượn thẻ của sinh viên khác bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Mượn thẻ của sinh viên khác bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Quên đeo thẻ sinh viên trong trường bị xử lý thế nào ,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Quên đeo thẻ sinh viên trong trường bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Quên đeo thẻ sinh viên trong trường bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Làm lại thẻ sinh viên nhưng không theo dõi thời gian nhận lại thẻ bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Làm lại thẻ sinh viên nhưng không theo dõi thời gian nhận lại thẻ bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Làm lại thẻ sinh viên nhưng không theo dõi thời gian nhận lại thẻ bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Làm lại thẻ sinh viên nhưng lấy thẻ quá thời gian nhận lại thẻ bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Làm lại thẻ sinh viên nhưng lấy thẻ quá thời gian nhận lại thẻ bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Làm lại thẻ sinh viên nhưng lấy thẻ quá thời gian nhận lại thẻ bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Mang dép lê bị xử lý gì,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mang dép lê bị xử lý sao,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mang dép lê bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mang dép lê vào trường bị xử lý gì,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mang dép lê vào trường bị xử lý sao,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mang dép lê vào trường bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,"Trang phục không lịch sự, không gọn gàng, không phù hợp với môi trường giáo dục bị xử lý gì","Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,"Trang phục không lịch sự, không gọn gàng, không phù hợp với môi trường giáo dục bị xử lý sao","Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,"Trang phục không lịch sự, không gọn gàng, không phù hợp với môi trường giáo dục bị xử lý thế nào","Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
